Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
KDE_neighbours,500,50,0.35286,0.13
KDE_neighbours,500,50,0.542,0.37
KDE_neighbours,500,50,0.562,0.41
KDE_neighbours,500,50,0.4059,0.34
KDE_neighbours,500,50,0.512,0.35
KDE_neighbours,500,50,0.11286,0.07
KDE_neighbours,500,50,0.5359,0.36
KDE_neighbours,500,50,0.392,0.23
KDE_neighbours,500,50,0.32286,0.08
KDE_neighbours,500,50,0.09286,0.04
KDE_neighbours,500,50,0.562,0.41
KDE_neighbours,500,50,0.532,0.35
PlugInvalid_neighbours,500,50,0.4675999999999998,0.24
PlugInvalid_neighbours,500,50,0.4519999999999999,0.21
PlugInvalid_neighbours,500,50,0.3371999999999998,0.11
PlugInvalid_neighbours,500,50,0.1399999999999999,0.02
PlugInvalid_neighbours,500,50,0.5079999999999998,0.23
PlugInvalid_neighbours,500,50,0.4015999999999998,0.1299999999999999
PlugInvalid_neighbours,500,50,0.1507999999999999,0.0466666666666666
PlugInvalid_neighbours,500,50,0.4867999999999998,0.39
PlugInvalid_neighbours,500,50,0.3727999999999998,0.1299999999999999
PlugInvalid_neighbours,500,50,0.4879999999999999,0.24
PlugInvalid_neighbours,500,50,0.4971999999999999,0.21
PlugInvalid_neighbours,500,50,0.3807999999999997,0.1099999999999999
PlugInvalid_neighbours,500,50,0.4983999999999999,0.21
PlugInvalid_neighbours,500,50,0.4975999999999998,0.23
PlugInvalid_neighbours,500,50,0.4979999999999998,0.21
PlugInvalid_neighbours,500,50,0.5075999999999998,0.21
PlugInvalid_neighbours,500,50,0.3511999999999998,0.1166666666666666
PlugInvalid_neighbours,500,50,0.3303999999999998,0.16
PlugInvalid_neighbours,500,50,0.3799999999999998,0.1099999999999999
PlugInvalid_neighbours,500,50,0.2104,0.15
target-20-neighbours,500,50,0.71,0.6986904761904762
target-20-neighbours,500,50,0.19,0.4916666666666667
target-20-neighbours,500,50,0.45,0.5245000000000001
target-20-neighbours,500,50,0.56,0.6458333333333335
