Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
PlugInvalid_neighbours,1000,50,0.5724972050000001,0.036056135
PlugInvalid_neighbours,1000,50,0.4009988820000001,0.02497205
PlugInvalid_neighbours,1000,50,0.391997764,0.02497205
PlugInvalid_neighbours,1000,50,0.22183221533333333,0.0306513645
PlugInvalid_neighbours,1000,50,0.46908249483333336,0.02497205
PlugInvalid_neighbours,1000,50,0.4948316563333334,0.0
PlugInvalid_neighbours,1000,50,0.5817480435000001,0.1415296
PlugInvalid_neighbours,1000,50,0.13508305383333333,0.02497205
PlugInvalid_neighbours,1000,50,0.5678310973333334,0.29144749999999997
PlugInvalid_neighbours,1000,50,0.6017480435,0.02497205
PlugInvalid_neighbours,1000,50,0.48524972050000004,0.02497205
PlugInvalid_neighbours,1000,50,0.6027469255000001,0.1141806
PlugInvalid_neighbours,1000,50,0.4831649896666667,0.02497205
PlugInvalid_neighbours,1000,50,0.42124860249999996,0.02497205
PlugInvalid_neighbours,1000,50,0.35049944099999997,0.02497205
PlugInvalid_neighbours,1000,50,0.42124860249999996,0.02497205
PlugInvalid_neighbours,1000,50,0.4948316563333334,0.0
PlugInvalid_neighbours,1000,50,0.3922474845,0.0306513645
target-20-neighbours,1000,50,0.42,0.02497205
target-20-neighbours,1000,50,0.43,0.02497205
target-20-neighbours,1000,50,0.43,0.02497205
target-20-neighbours,1000,50,0.24333333333333335,0.02497205
target-20-neighbours,1000,50,0.43,0.02497205
target-20-neighbours,1000,50,0.36,0.0
target-20-neighbours,1000,50,0.12,0.02497205
target-20-neighbours,1000,50,0.18,0.02497205
target-20-neighbours,1000,50,0.36,0.02497205
target-20-neighbours,1000,50,0.05,0.02497205
target-20-neighbours,1000,50,0.17,0.02497205
target-20-neighbours,1000,50,0.43,0.02497205
target-20-neighbours,1000,50,0.16,0.02497205
target-20-neighbours,1000,50,0.21,0.02497205
target-20-neighbours,1000,50,0.06,0.02497205
target-20-neighbours,1000,50,0.43,0.02497205
target-20-neighbours,1000,50,0.17,0.02497205
target-20-neighbours,1000,50,0.33,0.02497205
target-20-neighbours,1000,50,0.41,0.02497205
target-20-neighbours,1000,50,0.16,0.02497205
Random_neighbours,1000,50,0.41501635470000003,0.02497205
Random_neighbours,1000,50,0.10593414,0.02497205
Random_neighbours,1000,50,0.10975028,0.02497205
Random_neighbours,1000,50,0.13211799999999999,0.02497205
Random_neighbours,1000,50,0.38806728109999994,0.02497205
Random_neighbours,1000,50,0.2412384647,0.02497205
Random_neighbours,1000,50,0.2071726042,0.02497205
Random_neighbours,1000,50,0.04975028,0.02497205
Random_neighbours,1000,50,0.2312384647,0.02497205
Random_neighbours,1000,50,0.43501635470000005,0.02497205
Random_neighbours,1000,50,0.4174047397,0.02497205
Random_neighbours,1000,50,0.43715501970000004,0.02497205
Random_neighbours,1000,50,0.4271550197,0.02497205
Random_neighbours,1000,50,0.42501635470000004,0.02497205
Random_neighbours,1000,50,0.42501635470000004,0.02497205
Random_neighbours,1000,50,0.23675978279999998,0.02497205
Random_neighbours,1000,50,0.43740473970000004,0.02497205
Random_neighbours,1000,50,0.4174047397,0.02497205
Random_neighbours,1000,50,0.21098874469999998,0.02497205
Random_neighbours,1000,50,0.4027145883,0.02497205
LimeBased_neighbours,1000,50,0.08188598550000002,0.0
LimeBased_neighbours,1000,50,0.10163626499999999,0.02497205
LimeBased_neighbours,1000,50,0.1026169915,0.02497205
LimeBased_neighbours,1000,50,0.04163626499999999,0.02497205
LimeBased_neighbours,1000,50,0.29719273749999997,0.02497205
LimeBased_neighbours,1000,50,0.224565363,0.02497205
LimeBased_neighbours,1000,50,0.06683660050000001,0.02497205
LimeBased_neighbours,1000,50,0.23024972050000003,0.02497205
LimeBased_neighbours,1000,50,0.0768366005,0.02497205
LimeBased_neighbours,1000,50,0.13430566642857142,0.02497205
LimeBased_neighbours,1000,50,0.212877095,0.02497205
LimeBased_neighbours,1000,50,0.046836600500000006,0.02497205
LimeBased_neighbours,1000,50,0.26150837999999993,0.02497205
LimeBased_neighbours,1000,50,0.0010566579999999998,0.02497205
LimeBased_neighbours,1000,50,0.2679254324999999,0.02497205
LimeBased_neighbours,1000,50,0.06294264349999999,0.02497205
LimeBased_neighbours,1000,50,0.099532486,0.02497205
LimeBased_neighbours,1000,50,0.056836600500000015,0.02497205
LimeBased_neighbours,1000,50,0.22024972050000002,0.02497205
LimeBased_neighbours,1000,50,0.25863128499999993,0.02497205
KDE_neighbours,1000,50,0.05975028,0.02497205
KDE_neighbours,1000,50,0.34975028,0.02497205
KDE_neighbours,1000,50,0.16,0.02497205
KDE_neighbours,1000,50,0.32975028,0.02497205
KDE_neighbours,1000,50,0.03,0.02497205
KDE_neighbours,1000,50,0.35975028000000003,0.02497205
KDE_neighbours,1000,50,0.41,0.02497205
KDE_neighbours,1000,50,0.38975028,0.02497205
KDE_neighbours,1000,50,0.17975028,0.02497205
KDE_neighbours,1000,50,0.05975028,0.02497205
KDE_neighbours,1000,50,0.4,0.02497205
KDE_neighbours,1000,50,0.18975028000000002,0.02497205
KDE_neighbours,1000,50,0.41,0.02497205
KDE_neighbours,1000,50,0.16975028000000003,0.02497205
KDE_neighbours,1000,50,0.4,0.02497205
KDE_neighbours,1000,50,0.36975028000000004,0.02497205
KDE_neighbours,1000,50,0.35975028000000003,0.02497205
KDE_neighbours,1000,50,0.24,0.02497205
KDE_neighbours,1000,50,0.02,0.02497205
KDE_neighbours,1000,50,0.421825885,0.02497205
PlugInvalid_neighbours,1000,50,0.43024972050000004,0.02497205
PlugInvalid_neighbours,1000,50,0.4402497205,0.02497205
PlugInvalid_neighbours,1000,50,0.0,0.02497205
PlugInvalid_neighbours,1000,50,0.0202497205,0.02497205
PlugInvalid_neighbours,1000,50,0.3,0.02497205
PlugInvalid_neighbours,1000,50,0.43,0.02497205
PlugInvalid_neighbours,1000,50,0.030249720499999997,0.02497205
PlugInvalid_neighbours,1000,50,0.43024972050000004,0.02497205
PlugInvalid_neighbours,1000,50,0.070998882,0.02497205
PlugInvalid_neighbours,1000,50,0.2307491615,0.02497205
PlugInvalid_neighbours,1000,50,0.32,0.02497205
PlugInvalid_neighbours,1000,50,0.42,0.02497205
PlugInvalid_neighbours,1000,50,0.3302497205,0.02497205
PlugInvalid_neighbours,1000,50,0.42024972050000003,0.02497205
PlugInvalid_neighbours,1000,50,0.4402497205,0.02497205
PlugInvalid_neighbours,1000,50,0.2202497205,0.02497205
PlugInvalid_neighbours,1000,50,0.20049944099999997,0.02497205
PlugInvalid_neighbours,1000,50,0.050499441000000006,0.02497205
PlugInvalid_neighbours,1000,50,0.42,0.02497205
PlugInvalid_neighbours,1000,50,0.2807491615,0.02497205
target-20-neighbours,1000,50,0.8458333333333334,0.5701965
target-20-neighbours,1000,50,0.8225,0.7613715
