PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,7.01,4.45,0.66,0.36,330,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.71597905,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,165,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.66748416,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,495,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.76602082,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,330,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.71599643,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,165,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.66750297,0,0.0981446,0,0,0,0,0,0,0
0,5.318901744,2.643982491,0.6058907811,0.3594927216,691,56.63762947,99.24970389,free,y,s,distr,y,h,1466.4,709.97,2587.67,305.43,43.64962802,11.74914463,0,0.0981446,0,0.1653,0.0031,0.0842,0,0,0
0,5.32,2.64,0.61,0.36,690,56,99,free,y,s,distr,y,h,1466.4,709.97,2587.67,305.43,43,11.74909577,0,0.0981446,0,0.2129,0.0286,0.12075,0,0,0
0,5.32,2.64,0.61,0.36,460,56,99,free,y,s,distr,y,h,324.43,173.64,2587.67,305.43,43,11.67981142,0.858885,0.958622,1,0.0311,0.0311,0.0311,0.0176,0.0047,0.01115
0,5.32,2.64,0.61,0.36,230,56,99,free,y,s,distr,y,h,324.43,173.64,2587.67,305.43,43,11.61346666,0.0257282,0.125623,0,0.1307,0.0193,0.075,0.0217,0.0039,0.0128
0,5.32,2.64,0.61,0.36,690,56,99,free,y,s,distr,y,h,1466.4,709.97,2587.67,305.43,43,11.74909577,0,0.0981446,0,0.2897,0.0119,0.1508,0,0,0
0,5.32,2.64,0.61,0.36,460,56,99,free,y,s,distr,y,h,326.49,173.8,2587.67,305.43,43,11.67981101,0.874377,0.974272,1,0.0715,0.0158,0.04365,0.0143,0.0005,0.0074
0,5.32,2.64,0.61,0.36,230,56,99,free,y,s,distr,y,h,326.49,173.8,2587.67,305.43,43,11.61347477,0,0.0981446,0,0.0954,0.0007,0.04805,0.0191,0.0042,0.01165
0,5.32,2.64,0.61,0.36,690,56,99,free,y,s,distr,y,h,1466.4,709.97,2587.67,305.43,43,11.74909577,0,0.0981446,0,0.2511,0.0327,0.1419,0,0,0
0,5.32,2.64,0.61,0.36,460,56,99,free,y,s,distr,y,h,324.43,173.64,2587.67,305.43,43,11.67978758,0.901855,1,1,0.1298,0.0228,0.0763,0.013,0.0006,0.0068
0,5.32,2.64,0.61,0.36,230,56,99,free,y,s,distr,y,h,324.43,173.64,2587.67,305.43,43,11.61344645,0.0257282,0.125623,0,0.0702,0.0442,0.0572,0.0153,0.0015,0.0084
0,5.710332066,4.343234966,0.6599243774,0.2560126013,295,48.20673063,67.75876351,free,y,h,free,e,u,3313.08,212.76,3635.85,690.65,42.11047748,12.37031683,0.324104,0.423934,0,0.0602,0,0.0301,0.9247,0.0026,0.46365
0,5.71,4.34,0.66,0.26,294,48,67,free,y,h,free,e,u,3313.08,212.76,3635.85,690.65,42,12.37029545,0.328317,0.428233,0,0.0561,0.0033,0.0297,0.9088,0.0016,0.4552
0,5.71,4.34,0.66,0.26,196,48,67,free,y,h,free,e,u,813.97,185.77,3635.85,690.65,42,12.34028161,0,0.0981446,0,0.0348,0.0051,0.01995,0.9286,0.0013,0.46495
3,5.71,4.34,0.66,0.26,98,48,67,free,y,h,free,e,u,481.36,181.43,2932.82,195.54,42,12.31121293,0,0.0981446,0,0.0254,0.0002,0.0128,0.0501,0,0.02505
0,5.71,4.34,0.66,0.26,294,48,67,free,y,h,free,e,u,3313.08,212.76,3635.85,690.65,42,12.37029545,0.305315,0.40515,0,0.061,0.0003,0.03065,0.9219,0.0054,0.46365
0,5.71,4.34,0.66,0.26,196,28,67,free,y,h,free,e,u,813.97,186,3635.85,690.65,42,12.34027502,0,0.0981446,0,0.0393,0,0.01965,0.9179,0.0014,0.45965
3,5.71,4.34,0.66,0.26,98,28,67,free,y,h,free,e,u,465.57,182,2932.81,195.54,42,12.31120974,0,0.0981446,0,0.0254,0.0002,0.0128,0.0619,0.0014,0.03165
0,5.71,4.34,0.66,0.26,294,48,67,free,y,h,free,e,u,3313.08,212.76,3635.85,690.65,42,12.37029545,0.337396,0.43722,0,0.0526,0.0012,0.0269,0.9273,0,0.46365
0,5.71,4.34,0.66,0.26,196,48,67,free,y,h,free,e,u,833.96,185.09,3635.85,690.65,42,12.34029183,0,0.0981446,0,0.0447,0.0047,0.0247,0.9219,0.0054,0.46365
3,5.71,4.34,0.66,0.26,98,48,40,free,y,h,free,e,u,501.1,181.25,2878.83,195.5,42,12.31123208,0,0.0981446,0,0.0254,0.0002,0.0128,0.0501,0,0.02505
0,5.437786196,2.152160487,0.7388661164,0.2432223567,398,96.01467048,52.1837222,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68.7539071,11.87287095,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,397,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.87284347,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,265,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.83249701,0,0.0981446,0,0,0,0,0,0,0
0,5.44,2.15,0.74,0.24,133,96,52,free,e,s,foc,e,u,394.74,767.75,1983.4,299.33,68,11.79336932,0,0.0981446,0,0,0,0,0,0,0
